Compounds,Egap,Egap_fit:,Egap_type:
Al8Mn12O48Si12,3.5752,5.73237,insulator-indirect
Al8Mn12O48Si12,3.5757,5.73304,insulator-indirect
Al8Mn12O48Si12,3.5765,5.73412,insulator-indirect
Al8Mn12O48Si12,3.574,5.73075,insulator-indirect
Al8Mn12O48Si12,3.5745,5.73143,insulator-indirect
Al8Mn12O48Si12,3.5757,5.73304,insulator-indirect
Al8Mn12O48Si12,3.5744,5.73129,insulator-indirect
Al8Mn12O48Si12,3.576,5.73345,insulator-indirect
Al8Mn12O48Si12,3.5737,5.73035,insulator-indirect
Al8Mn12O48Si12,3.574,5.73075,insulator-indirect
Al8Mn12O48Si12,3.5736,5.73021,insulator-indirect
Al8Mn12O48Si12,3.5743,5.73116,insulator-indirect
Al8Mn12O48Si12,3.5781,5.73628,insulator-indirect
Al8Mn12O48Si12,3.5735,5.73008,insulator-indirect
Al8Mn12O48Si12,3.575,5.7321,insulator-indirect
Al8Mn12O48Si12,3.5722,5.72833,insulator-indirect
Al8Mn12O48Si12,3.5781,5.73628,insulator-indirect
Al4Ni12Tb6,0,0,metal
Al4Ni12Y6,0,0,metal
Al4Ni12Y6,0,0,metal
Al4Ni12Y6,0,0,metal
Al8O48Si12Sr12,4.4379,6.89529,insulator-direct
Al12Cu8Ni12Zr48,0,0,metal
Al6Li24Si8,0,0,metal
Al12O48Sc8Y12,4.2689,6.66748,insulator-direct
Al32Ni24,0,0,metal
Al20Er12O48,4.7584,7.32732,insulator-direct
Al20Er12O48,4.7586,7.32759,insulator-direct
Al20Er12O48,4.7608,7.33056,insulator-direct
Al20Er12O48,4.7595,7.32881,insulator-direct
Al20Eu12O48,0.7361,1.90526,insulator-direct
Al20Gd12O48,4.1126,6.45678,insulator-direct_spin-polarized
Al20Ho12O48,4.6671,7.20425,insulator-direct
Al20Lu12O48,5.077,7.7568,insulator-direct
Al20O48Tb12,4.4742,6.94422,insulator-direct
Al20O48Y12,4.4957,6.9732,insulator-direct
Al20O48Y12,4.4969,6.97482,insulator-direct
Al20O48Y12,4.496,6.97361,insulator-direct
Al20O48Y12,4.4963,6.97401,insulator-direct
Al20O48Y12,4.4951,6.97239,insulator-direct
Al20O48Y12,4.4951,6.97239,insulator-direct
Al20O48Y12,4.4976,6.97576,insulator-direct
Al20O48Y12,4.4955,6.97293,insulator-direct
Al20O48Y12,4.4956,6.97307,insulator-direct
Al20O48Y12,4.4956,6.97307,insulator-direct
Al20O48Y12,4.4958,6.97334,insulator-direct
Al20O48Y12,4.4946,6.97172,insulator-direct
Al20O48Y12,4.4948,6.97199,insulator-direct
Al20O48Y12,4.4967,6.97455,insulator-direct
Al20O48Yb12,0.6174,1.74526,insulator-direct
Al20O48Yb12,0.6225,1.75213,insulator-direct
Al20O48Yb12,0.6187,1.74701,insulator-direct
Al20O48Yb12,0.6153,1.74242,insulator-direct
Al5Re24,0,0,metal
Al6Ca4O13,3.6418,5.82215,insulator-indirect
Al6Ca4O13,3.9459,6.23207,insulator-indirect
Al6Ca4O16S1,4.6736,7.21301,insulator-indirect
Al6Ca4O16W1,3.9742,6.27022,insulator-direct
Al6O16S1Sr4,4.385,6.82398,insulator-indirect
Al6O16Sr4W1,3.6101,5.77941,insulator-direct
Al16Fe10,0,0,metal
Al16Fe10,0,0,metal
Al16Fe10,0,0,metal
Al6Ca4O12S1,3.7202,5.92783,insulator-direct
Al6Ca4O12Te1,3.1259,5.12671,insulator-indirect
Al6Cd4O12S1,2.7932,4.67823,insulator-indirect
Al6Cd4O12Te1,2.6487,4.48345,insulator-indirect
Al12Mg17,0,0,metal
Al12Mg17,0,0,metal
Al12Mg17,0,0,metal
Al12Mn1,0,0,metal
Al12Mo1,0,0,metal
Al12Mo1,0,0,metal
Al12Mo1,0,0,metal
Al6O12S1Sr4,3.3438,5.42044,insulator-indirect
Al6O12Sr4Te1,2.8283,4.72555,insulator-indirect
Al12Re1,0,0,metal
Al12Re1,0,0,metal
Al12Ta17,0,0,metal
Al12Tc1,0,0,metal
Al12Tc1,0,0,metal
Al12W1,0,0,metal
Al14Ca12O32,0,0,metal
Al14Ca12O32,0,0,metal
Al14Ca12O32,0,0,metal
Al14Mg13,0,0,metal
As8Cu24,0,0,metal
As8Cu24,0,0,metal
As8Cu24,0,0,metal
As1H36Li3N12Se4,1.7024,3.20784,insulator-indirect
As4I12La12,0,0,metal
As16Mg24,1.4442,2.85978,insulator-direct
As16Mg24,1.4378,2.85115,insulator-direct
As16Mg24,1.4399,2.85399,insulator-direct
As16Zn24,0.1506,1.11601,insulator-indirect
As16Zn24,0.1546,1.1214,insulator-indirect
As6Ce8,0,0,metal
As6Ce8,0,0,metal
As12Co4,0,0,metal
As12Co4,0,0,metal
As12Co4,0,0,metal
As12Co4,0,0,metal
As12Co4,0,0,metal
As12Co4,0,0,metal
As12Co4,0,0,metal
As12Co4,0,0,metal
As12Cr8Na12O48,0,0,metal
As6Eu8,0,0,metal
As6Eu8,0,0,metal
As12Ir4,0,0,metal
As12Ir4,0,0,metal
As12Ir4,0,0,metal
As6La8,0,0,metal
As6Pr8,0,0,metal
As6Pr8,0,0,metal
As12Rh4,0,0,metal
As12Rh4,0,0,metal
As6Ti8,0,0,metal
As6Yb8,0,0,metal
As6Yb8,0,0,metal
As4Cu12S12,0,0,metal
As4Cu12S13,0,0,metal
As8Pa6,0,0,metal
As8Pa6,0,0,metal
As8Th6,0.0924,1.03756,insulator-indirect
As8Th6,0.0925,1.03769,insulator-indirect
As8Th6,0.0924,1.03756,insulator-indirect
As8U6,0,0,metal
As8U6,0,0,metal
As8U6,0,0,metal
As8U6,0,0,metal
As6Ir7Mg4,0,0,metal
As6Mg4Rh7,0,0,metal
As6Rh7Yb4,0,0,metal
As6Ru7U4,0,0,metal
As14Re6,0,0,metal
As14Re6,0,0,metal
As14Re6,0,0,metal
As14Re6,0,0,metal
As12Ce1Fe4,0.1511,1.11668,insulator-indirect
As12Ce1Os4,0,0,metal
As12Ce1Ru4,0.1377,1.09862,insulator-indirect
As12Fe4La1,0,0,metal
As12Fe4La1,0,0,metal
As12La1Os4,0,0,metal
As12La1Ru4,0,0,metal
As12Nd1Os4,0,0,metal
As12Os4Pr1,0,0,metal
As12Os4Th1,0.0827,1.02448,insulator-indirect
As12Pr1Ru4,0,0,metal
Au1Sb3,0,0,metal
Au6Dy6Sb8,0.4624,1.53632,insulator-indirect
Au6Er6Sb8,0.4738,1.55168,insulator-indirect
Au6Gd6Sb8,0.2745,1.28303,insulator-indirect_spin-polarized
Au6Ho6Sb8,0.4628,1.53685,insulator-indirect
Au6La6Sb8,0.3921,1.44155,insulator-indirect
Au6Lu6Sb8,0.475,1.5533,insulator-indirect
Au6Nd6Sb8,0,0,metal
Au6Pr6Sb8,0,0,metal
Au6Sb8Sm6,0,0,metal
Au6Sb8Tb6,0.4553,1.52674,insulator-indirect
Au6Sb8Y6,0.4792,1.55896,insulator-indirect
Au6Sn8U6,0,0,half-metal
Au8Li30,0,0,metal
Au10Cd16,0,0,metal
B12Ba24Cl12N24,2.75,4.62,insulator-indirect
B4H40Li16N12,3.5944,5.75825,insulator-indirect
B4H40Li16N12,3.6131,5.78346,insulator-indirect
B4H40Li16N12,3.5828,5.74261,insulator-indirect
B4H40Li16N12,3.5935,5.75704,insulator-indirect
B4H40Li16N12,3.574,5.73075,insulator-indirect
B3N6Na1Sr4,1.9733,3.57301,insulator-indirect
B3Ba4N6Na1,2.0496,3.67586,insulator-indirect
B3Ca4Li1N6,2.1952,3.87213,insulator-indirect
B3Ca4Li1N6,2.1958,3.87294,insulator-indirect
B3Eu4Li1N6,0.5511,1.65588,insulator-indirect
B3Li1N6Sr4,2.0763,3.71185,insulator-indirect
B3N6Na1Sr4,1.9698,3.56829,insulator-indirect
B6Co4O13,3.7277,5.93794,insulator-indirect_spin-polarized
B6O13Zn4,4.0414,6.36081,insulator-indirect
B6O13Zn4,4.0432,6.36323,insulator-indirect
B6O13Zn4,4.0422,6.36189,insulator-indirect
B6O13Zn4,4.0399,6.35879,insulator-indirect
B6O13Zn4,4.041,6.36027,insulator-indirect
B6O13Zn4,4.0383,6.35663,insulator-indirect
B6O12Se1Zn4,4.9395,7.57145,insulator-direct
B16Ir19Mg10,0,0,metal
Ba1Fe4Sb12,0,0,metal
Ba1Ge12Pt4,0,0,metal
Ba1Ge12Pt4,0,0,metal
Ba1Ge12Pt4,0,0,metal
Ba1Mn28,0,0,metal
Ba1Os4Sb12,0,0,metal
Ba1Ru4Sb12,0,0,metal
Ba1Ru4Sb12,0,0,metal
Ba1,0,0,metal
Ba1,0,0,metal
Ba1,0,0,metal
Ba1,0,0,metal
Ba1,0,0,metal
Ba1,0,0,metal
Ba1,0,0,metal
Ba1,0,0,metal
Ba4C6Cs4O18,4.3456,6.77087,insulator-indirect
Ba4Ir6O18,0,0,half-metal
Ba1K4O12U3,2.8745,4.78783,insulator-indirect
Ba6Br4Fe4O10,2.1974,3.8751,insulator-indirect_spin-polarized
Ba6Cl4Fe4O10,2.2239,3.91082,insulator-indirect_spin-polarized
Ba8Bi6,0,0,metal
Ba4Cl1O18Os6,0,0,metal
Ba4Na1O12Sb3,1.5144,2.95441,insulator-indirect
Ba4Na1O12Sb3,1.5161,2.9567,insulator-indirect
Ba6C60,0.1743,1.14796,insulator-indirect
Ba6N1Na16,0,0,metal
Be24Cl48,6.6506,9.87801,insulator-indirect
Be6Cl12,6.5855,9.79025,insulator-indirect
Be6F12,8.0374,11.7474,insulator-indirect
Be1,0,0,metal
Be12Ca12F8Li8O48Si12,5.7353,8.64418,insulator-indirect
Be24N16,3.316,5.38297,insulator-direct
Be24N16,3.3149,5.38149,insulator-direct
Be24P16,0.8869,2.10854,insulator-direct
Be24Ru16,0,0,metal
Be68Os12,0,0,metal
Be68Ru12,0,0,metal
Bi4F24K4,2.9088,4.83406,insulator-indirect
Bi4K12O12,2.996,4.95161,insulator-direct
Bi4Na12O12,2.9059,4.83015,insulator-direct
Bi1,0,0,metal
Bi4Ni6S4,0,0,metal
Bi12O18,1.7808,3.31352,insulator-indirect
Bi16O24,1.8636,3.42513,insulator-direct
Bi4Pd6S4,0,0,metal
Bi4Pd6S4,0,0,metal
Bi6Ce8,0,0,metal
Bi6Ce8,0,0,metal
Bi6Eu8,0,0,metal
Bi6Eu8,0,0,metal
Bi6Eu8,0,0,metal
Bi6Gd8,0,0,half-metal
Bi6Gd8,0,0,half-metal
Bi6La8,0,0,metal
Bi6La8,0,0,metal
Bi6La8,0,0,metal
Bi6Nd8,0,0,metal
Bi6Nd8,0,0,metal
Bi12O32Re4,2.7157,4.57376,insulator-indirect
Bi12O32Re4,2.743,4.61056,insulator-indirect
Bi12O32Re4,2.7415,4.60854,insulator-indirect
Bi6Pr8,0,0,metal
Bi6Sr8,0,0,metal
Bi6Tb8,0,0,metal
Bi6Yb8,0,0,metal
Bi6Yb8,0,0,metal
Bi6Yb8,0,0,metal
Bi8Ce6Pd6,0.2811,1.29192,insulator-indirect
Bi8Ce6Pt6,0.332,1.36054,insulator-indirect
Bi8Cu6La6,0.1759,1.15011,insulator-indirect
Bi8Ge6O24,3.4662,5.58544,insulator-indirect
Bi8Ge6O24,3.4596,5.57654,insulator-indirect
Bi8Ge6O24,3.4604,5.57762,insulator-indirect
Bi8Ge6O24,3.4614,5.57897,insulator-indirect
Bi8Ge6O24,3.4671,5.58665,insulator-indirect
Bi8Ge6O24,3.4743,5.59636,insulator-indirect
Bi8Ge6O24,3.469,5.58921,insulator-indirect
Bi8Ge6O24,3.4878,5.61455,insulator-indirect
Bi8La6Pt6,0,0,metal
Bi8O24Si6,3.9242,6.20282,insulator-indirect
Bi8O24Si6,3.9208,6.19824,insulator-indirect
Bi8O24Si6,3.9128,6.18745,insulator-indirect
Bi8O24Si6,3.9013,6.17195,insulator-indirect
Bi8O24Si6,3.9172,6.19339,insulator-indirect
Bi8O24Si6,3.9056,6.17775,insulator-indirect
Bi8O24Si6,3.9056,6.17775,insulator-indirect
Bi48Rh12,0,0,metal
Bi8Th6,0,0,metal
Bi8Th6,0,0,metal
Bi8U6,0,0,metal
Bi8U6,0,0,metal
Bi8U6,0,0,metal
Bi12Ge1O20,2.4461,4.21034,insulator-indirect
Bi12Ge1O20,2.4426,4.20562,insulator-indirect
Bi12Ge1O20,2.4482,4.21317,insulator-indirect
Bi12Mn1O20,0,0,half-metal
Bi12O20Si1,2.4134,4.16626,insulator-indirect
Bi12O20Si1,2.4114,4.16357,insulator-indirect
Bi12O20Si1,2.4129,4.16559,insulator-indirect
Bi12O20Si1,2.421,4.17651,insulator-indirect
Bi12O20Si1,2.4164,4.17031,insulator-indirect
Bi12O20Si1,2.4187,4.17341,insulator-indirect
Bi12O20Si1,2.4162,4.17004,insulator-indirect
Bi12O20Si1,2.4185,4.17314,insulator-indirect
Bi12O20Si1,2.4246,4.18136,insulator-indirect
Bi12O20Si1,2.4208,4.17624,insulator-indirect
Bi12O20Si1,2.4188,4.17354,insulator-indirect
Bi12O20Si1,2.4093,4.16074,insulator-indirect
Bi12O20Ti1,2.3863,4.12973,insulator-indirect
Bi12O20Ti1,2.3919,4.13728,insulator-indirect
Bi12O20Zn1,0,0,metal
Bi12Ge1O20,2.4415,4.20414,insulator-indirect
Bi12Mn1O20,0,0,half-metal
Bi12O20Pb1,1.7391,3.25731,insulator-indirect
Bi12O20Si1,2.4215,4.17718,insulator-indirect
Bi12O20Si1,2.4132,4.16599,insulator-indirect
Bi12O20Ti1,2.3933,4.13917,insulator-indirect
Br4Hg6Te4,1.7328,3.24881,insulator-indirect
Br12La12Si4,0,0,metal
Br12Si4Tb12,0,0,metal
Br15Co1Th6,0.7006,1.85741,insulator-direct
Br15Fe1Th6,0,0,metal
C4Cl12Gd12,0,0,metal
C1Co12Ge4U6,0,0,metal
C4H4,4.9527,7.58924,insulator-indirect
C8,2.4492,4.21452,insulator-direct
C8,2.4499,4.21547,insulator-direct
C8,2.4527,4.21924,insulator-direct
C8,2.4526,4.2191,insulator-direct
C4,0,0,metal
C4,0,0,metal
C12Ce8,0,0,metal
C12Ce8,0,0,metal
C12Ce8,0,0,metal
C12Ce8,0,0,metal
C6Cs4O18Sr4,4.5844,7.09277,insulator-indirect
C12Dy8,0,0,metal
C12Dy8,0,0,metal
C12Dy8,0,0,metal
C12Er8,0,0,metal
C12Gd8,0,0,metal
C12Gd8,0,0,metal
C12Ho8,0,0,metal
C12Ho8,0,0,metal
C12Ho8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12La8,0,0,metal
C12Lu8,0,0,metal
C12Lu8,0,0,metal
C6N8,2.891,4.81007,insulator-indirect
C6N8,2.8947,4.81506,insulator-indirect
C12Nd8,0,0,metal
C12Nd8,0,0,metal
C12Nd8,0,0,metal
C6O18Rb4Sr4,4.472,6.94126,insulator-indirect
C12Pr8,0,0,metal
C12Pr8,0,0,metal
C12Pu8,0,0,metal
C12Pu8,0,0,metal
C12Pu8,0,0,metal
C12Pu8,0,0,metal
C12Pu8,0,0,metal
C12Pu8,0,0,metal
C12Sc8,0,0,metal
C6Sc8,0.6658,1.8105,insulator-direct
C12Tb8,0,0,metal
C12Tb8,0,0,metal
C12Th8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12U8,0,0,metal
C12Y8,0,0,metal
C12Y8,0,0,metal
C12Y8,0,0,metal
C12Y8,0,0,metal
C12Y8,0,0,metal
C12Yb8,0,0,metal
C6Er11Ni60,0,0,metal
C14Ir6,0,0,metal
C8,3.006,4.96509,insulator-indirect
C8,2.4528,4.21937,insulator-direct
C60Cs6,0.7461,1.91874,insulator-indirect
C12Cl12N12O4P4S12Sb4,3.313,5.37892,insulator-indirect
C12O12Ru4Se4,2.1882,3.86269,insulator-indirect
C18Er10Mn13,0,0,metal
C18Ho10Mn13,0,0,metal
C18Mn13Tb10,0,0,metal
C18Mn13Y10,0,0,half-metal
C18Ru12Th11,0,0,metal
C18Ru12Th11,0,0,metal
C60Cs6,0.7466,1.91942,insulator-indirect
C60Eu6,0,0,metal
C60K6,0.5895,1.70765,insulator-indirect
C60Rb6,0.6934,1.8477,insulator-indirect
C60Sr6,0,0,metal
Ca1Co4Cu3O12,0,0,half-metal
Ca1Cu3Ge4O12,1.7244,3.23749,insulator-indirect
Ca1Cu3Ge4O12,1.7149,3.22469,insulator-indirect
Ca1Cu3Mn4O12,0,0,metal
Ca1Cu3Mn4O12,0,0,metal
Ca1Cu3O12Pt4,0.6152,1.74229,insulator-direct
Ca1Cu3O12Ru4,0,0,half-metal
Ca1Cu3O12Ru4,0,0,half-metal
Ca1Cu3O12Ru4,0,0,half-metal
Ca1Cu3O12Sn4,0.7126,1.87358,insulator-direct
Ca1Cu3O12Sn4,0.7129,1.87399,insulator-direct
Ca1Cu3O12Ti4,0,0,metal
Ca1Cu3O12Ti4,1.2234,2.56214,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2237,2.56255,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2232,2.56187,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2245,2.56363,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2231,2.56174,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2241,2.56309,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2233,2.56201,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2232,2.56187,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2233,2.56201,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2236,2.56241,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.2235,2.56228,insulator-indirect_spin-polarized
Ca1Cu3O12Ti4,1.224,2.56295,insulator-indirect_spin-polarized
